VM;Powerstate;CPUs;Memory;Primary_IP_Address;Network_1;Cluster;Datacenter;Host;OS_VMwareTools;OS_ConfigFile;GeneratedUniqueID
AC-PU-01;poweredOn;16;32768;10.1.6.31;VLAN-10.1.6.x;CL_WEB;WEB;rz2-esx-59.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.6.31","AC-PU-01"]
AC-TU-01;poweredOn;8;32768;10.1.6.21;VLAN-10.1.6.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.6.21","AC-TU-01"]
AFS-01;poweredOn;2;8192;10.1.15.22;VLAN-10.1.15.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.15.22","AFS-01"]
AFS-02;poweredOn;2;8192;10.1.15.122;VLAN-10.1.15.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.15.122","AFS-02"]
AGIS-G3G4-01;poweredOn;4;16384;10.2.6.34;VLAN-10.2.6.x;CL_PU;PU;rz2-esx-32.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.6.34","AGIS-G3G4-01"]
AMAP-1;poweredOn;4;8192;10.1.16.81;VLAN-10.1.16.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.16.81","AMAP-1"]
AMAP-2;poweredOn;4;8192;10.1.16.82;VLAN-10.1.16.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.16.82","AMAP-2"]
AMAP-3;poweredOn;2;2048;10.1.42.85;VLAN-10.1.42.x;CL_WEB;WEB;rz1-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.42.85","AMAP-3"]
ANSIBLE-01;poweredOn;2;3072;10.1.24.200;VLAN-10.1.24.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.24.200","ANSIBLE-01"]
apexcentral01;poweredOn;4;8192;10.2.1.115;VLAN-10.2.1.x;CL_PU;PU;rz1-esx-32.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.1.115","apexcentral01"]
ApexMPN;poweredOn;2;8192;10.1.37.112;VLAN-10.1.37.x;CL_APOS;WEB;rz1-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.37.112","ApexMPN"]
apexone01;poweredOn;4;8192;10.2.1.112;VLAN-10.2.1.x;CL_PU;PU;rz1-esx-32.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.1.112","apexone01"]
APOS-CORS-01;poweredOn;4;6144;10.1.4.37;VLAN-10.1.4.x;CL_APOS;WEB;rz1-esx-38.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.4.37","APOS-CORS-01"]
